id,name,geoId,registeredMen,registeredWomen,registeredTotal,observersTotal,observersMale,observersFemale,pollingCentersTotal,pollingStationsTotal,pollingStationsFemale,pollingStationsMale
1,Kabul,1,1041185,522214,1563399,623,401,222,506,1294,411,883
2,Kapisa,2,99572,44161,143733,178,75,103,121,297,140,157
3,Parwan,3,139712,72958,212670,114,75,39,87,142,40,102
4,Wardak,4,100391,41090,141481,74,55,19,65,80,20,60
5,Logar,5,67743,23662,91405,176,121,55,78,360,109,211
6,Nangarhar,6,528776,264893,793669,426,288,138,302,753,231,522
7,Laghman,7,110123,46714,156837,144,81,63,73,255,94,161
8,Panjsher,8,42764,30645,73409,94,57,37,72,118,48,70
9,Baghlan,9,237169,169551,406720,191,124,67,79,222,79,143
10,Bamyan,10,82108,85148,167256,139,64,75,109,174,96,78
12,Paktika,12,158406,38611,197017,75,59,16,72,123,30,93
13,Paktya,13,222095,157485,379580,386,273,113,251,995,394,563
14,Khost,14,172381,55538,227919,470,303,167,290,872,254,541
15,Kunar,15,108374,60978,169352,116,71,45,77,182,57,125
16,Nuristan,16,42124,24904,67028,53,42,11,38,74,14,60
17,Badakhshan,17,171569,123939,295508,214,127,87,144,242,99,143
18,Takhar,18,152971,135833,288804,300,179,121,193,495,200,295
19,Kunduz,19,108832,60843,169675,166,84,82,98,141,51,90
20,Samangan,20,70600,63532,134132,114,69,45,96,178,69,109
21,Balkh,21,246816,195564,442380,278,152,126,201,460,210,250
22,Sar-e-Pul,22,68374,66373,134747,62,40,22,38,94,33,61
23,Ghor,23,153039,85563,238602,212,104,108,149,290,129,161
24,Daykundi,24,75467,91408,166875,154,83,71,107,223,112,111
25,Uruzgan,25,54032,1967,55999,61,34,27,48,105,34,71
26,Zabul,26,57531,3363,60894,59,42,17,48,81,17,64
27,Kandahar,27,442512,67276,509788,306,208,98,226,600,136,464
28,Jawzjan,28,46470,48379,94849,174,95,79,117,267,115,152
29,Faryab,29,104454,84974,189428,71,41,30,67,108,40,68
30,Hilmand,30,261709,41679,303388,127,91,36,100,214,54,160
31,Badghis,31,59945,32883,92828,110,57,53,71,137,68,69
32,Hirat,32,297391,239818,537209,523,325,198,351,753,288,465
33,Farah,33,42692,22581,65273,65,37,28,39,98,40,58
34,Nimroz,34,65068,26609,91677,54,39,15,35,94,34,60
35,Kuchi,,,,170072,,,,,,,
36,Sikh,,,,1105,,,,,,,
