number,provName,provId,observerOrganization,totalObservers,man,woman,totalPollingCenterCovered,totalPollingStationCovered,womanPollingStation,manPollingStation
1,Badakhshan,17,ACSFO,152,100,52,78,155,59,96
2,Badghis,31,ACSFO,54,39,15,33,45,17,28
3,Baghlan,9,ACSFO,284,202,82,145,283,64,219
4,Balkh,21,ACSFO,305,197,108,181,555,246,309
5,Bamyan,10,ACSFO,112,64,48,66,348,171,177
6,Daykundi,24,ACSFO,88,56,32,56,196,85,111
7,Farah,33,ACSFO,40,23,17,25,43,19,24
8,Faryab,29,ACSFO,113,71,42,64,312,145,167
9,Ghazni,11,ACSFO,231,128,103,131,919,491,428
10,Ghor,23,ACSFO,153,107,46,102,423,170,253
11,Helmand,30,AABRAR,236,199,37,97,937,167,770
12,Herat,32,ACSFO,378,216,162,206,1090,462,628
13,Jawzjan,28,ACSFO,77,41,36,44,212,100,112
14,Kabul,1,ACSFO,893,521,372,501,2715,1132,1583
15,Kandahar,27,AABRAR,350,304,46,147,1297,232,1065
16,Kapisa,2,ACSFO,126,77,49,76,361,100,261
17,Khost,14,AABRAR,266,217,49,186,835,262,573
18,Kunarha,15,THRA,146,107,39,106,364,146,218
19,Kunduz,19,ACSFO,126,90,36,74,249,88,161
20,Laghman,7,THRA,86,65,21,66,314,100,214
21,Logar,5,ACSFO,53,36,17,30,220,83,137
22,Maydanwardak,4,ACSFO,94,63,31,61,192,54,138
23,Nangarhar,6,THRA,429,329,100,325,1472,496,976
24,Nimroz,34,ACSFO,59,34,25,33,67,34,33
25,Noorestan,16,THRA,46,33,13,34,125,51,74
26,Paktika,12,AABRAR,224,180,44,166,773,216,557
27,Paktya,13,AABRAR,370,223,147,189,1159,485,674
28,Panjshir,8,ACSFO,121,92,29,92,215,55,160
29,Parwan,3,ACSFO,178,100,78,114,490,157,333
30,Samangan,20,ACSFO,78,48,30,44,76,28,48
31,Sarepul,22,ACSFO,128,81,47,54,121,52,69
32,Takhar,18,ACSFO,266,166,100,164,601,261,340
33,Uruzgan,25,AABRAR,49,48,1,32,200,30,170
34,Zabul,26,AABRAR,62,60,2,43,213,34,179
35,Kuchi,0,0,0,0,0,0,0,0,0
36,Sikh,0,0,0,0,0,0,0,0,0
